,0
0,Arizona
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Iowa
11,Louisiana
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,New York
25,North Carolina
26,North Dakota
27,Ohio
28,Oklahoma
29,Pennsylvania
30,Rhode Island
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
